dog_DogID,dog_Tattoo,dog_CallName,dog_LitterID,dog_BreederID,dog_DOB,dog_Sex,dog_StatusChangeDate,dog_SubStatusCode,dbc_DogBreedDescription,Dog_EndReasonText,dbcc_ColorDescription,ogr_RelationID,ogr_PersonID,ogr_DateStart,ogr_DateEnd,ogr_DateRefused,Relationship_Description
13970,7S08,Shelby,S08,7105,3/9/08,F,8/29/13,98,Labrador Retriever,BRD retire genetic reason,Yellow,38471,21256,12/4/09,8/29/13,,Foster for breeding dog
8893,6QQ02,Querida,QQ02,7105,6/3/02,F,12/3/09,98,Labrador Retriever,Dog age-too old for reuse,Black,38476,5866,11/4/09,,,Adopter of dog
8972,4001005,Quanna,001005,8994,5/24/02,F,12/3/09,98,Golden Retriever,Dog age-too old for reuse,Golden,38477,15738,10/6/09,,,Adopter of dog
13311,4E307,Elka,E307,7105,9/22/07,F,6/19/13,98,Labrador Retriever,BRD retire genetic reason,Yellow,37713,19844,8/4/09,6/19/13,,Foster for breeding dog
15504,5J10,Joanna,J10,7105,2/6/10,F,6/28/13,98,Labrador Retriever,BRD retire genetic reason,Yellow,39504,8125,4/30/10,,,Veterinary sponsor for pups
11773,2P405,Pandora,P405,7105,12/17/05,F,5/18/10,98,Labrador Retriever,Dog age-too old for reuse,Yellow,39524,12440,5/13/10,,,Adopter of dog
8890,3QQ02,Scotty,QQ02,7105,6/3/02,M,5/18/10,98,Labrador Retriever,Dog age-too old for reuse,Yellow,39525,6839,5/11/10,,,Adopter of dog
14596,1A408,Abner,A408,7105,11/11/08,M,6/11/14,98,Labrador Retriever,BRD retire genetic reason,Black,39529,21845,5/19/10,6/11/14,,Foster for breeding dog
14612,3B408,Bea,B408,7105,11/17/08,F,8/5/14,98,Labrador Retriever,BRD retire genetic reason,Black,39538,1814,4/25/10,8/5/14,,Foster for breeding dog
12967,7T07,Taffy,T07,7105,5/9/07,F,5/3/12,98,Labrador Retriever,Dog age-too old for reuse,Yellow,36813,15474,3/25/09,5/3/12,,Foster for breeding dog
13219,4WW07,Wren,WW07,7105,8/17/07,F,5/8/12,98,Labrador Retriever,Dog health problem,Yellow,36817,18510,10/19/07,,,Veterinary sponsor for pups
10647,4E304,Elsa,E304,7105,7/4/04,F,3/30/09,98,Labrador Retriever,Dog health problem,Yellow,36842,14697,4/25/09,,,Adopter of dog
14663,7G408,Ginger,G408,7105,12/22/08,F,10/28/11,98,Labrador Retriever,BRD retire genetic reason,Yellow,36844,15261,3/29/09,6/30/09,6/30/09,Puppy Raiser/primary
14663,7G408,Ginger,G408,7105,12/22/08,F,10/28/11,98,Labrador Retriever,BRD retire genetic reason,Yellow,36845,15450,3/30/09,,,Veterinary sponsor for pups
9464,4N03,Norman,N03,7105,3/3/03,M,3/31/09,98,Labrador Retriever,BRD retire genetic reason,Black,36853,12580,3/31/09,,,Adopter of dog
14630,9C408,Cletus,C408,7105,11/20/08,M,10/25/11,98,Labrador Retriever,BRD retire genetic reason,Black,36871,7453,2/4/09,,,Veterinary sponsor for pups
10716,2M304,Maria,M304,7105,7/25/04,F,5/28/09,98,Labrador Retriever,Dog health problem,Yellow,36883,14679,4/7/09,5/28/09,,Adopter of dog
8655,3K02,Katrina,K02,7105,2/9/02,F,4/1/09,98,Labrador Retriever,Dog age-too old for reuse,Yellow,36925,8731,4/24/09,,,Adopter of dog
14279,4OO08,Onslo,OO08,7105,6/9/08,M,7/24/14,98,Golden Retriever,Dog age-too old for reuse,Golden,36960,12188,4/3/09,1/5/10,,Puppy Raiser/primary
14806,7J09,Joseph,J09,7105,2/20/09,M,3/3/15,98,German Shepherd,BRD retire genetic reason,Black/tan,36962,3472,4/16/09,8/3/10,,Puppy Raiser/primary
14663,7G408,Ginger,G408,7105,12/22/08,F,10/28/11,98,Labrador Retriever,BRD retire genetic reason,Yellow,37565,20561,7/13/09,5/4/10,12/1/11,Secondary Raiser
10715,1M304,Mark,M304,7105,7/25/04,M,6/18/09,98,Labrador Retriever,BRD retire genetic reason,Black,37571,4880,6/18/09,,,Adopter of dog
9461,1N03,Naku,N03,7105,3/3/03,F,7/13/09,98,Labrador Retriever,BRD retire genetic reason,Yellow,37572,3853,7/13/09,,,Adopter of dog
14958,5AA09,Aloha,AA09,7105,5/4/09,F,12/13/13,98,Labrador Retriever,Dog age-too old for reuse,Black,37579,20481,7/13/09,9/7/10,12/13/13,Puppy Raiser/primary
14279,4OO08,Onslo,OO08,7105,6/9/08,M,7/24/14,98,Golden Retriever,Dog age-too old for reuse,Golden,36993,7870,4/3/09,,,Veterinary sponsor for pups
14803,4J09,Jack,J09,7105,2/20/09,M,3/3/15,98,German Shepherd,BRD retire genetic reason,Sable,36994,17980,4/21/09,1/14/11,,Puppy Raiser/primary
14205,1LL08,Lois,LL08,7105,5/21/08,F,9/24/13,98,Golden Retriever,BRD retire genetic reason,Golden,37014,19954,4/23/09,1/5/10,,Puppy Raiser/primary
14785,4H09,Helena,H09,7105,2/14/09,F,9/19/13,98,Labrador Retriever,BRD retire genetic reason,Black,37034,6850,4/27/09,11/9/09,,Puppy Raiser/primary
14824,4L09,Leo,L09,7105,3/2/09,M,9/24/13,98,Labrador Retriever,BRD retire genetic reason,Yellow,37069,2706,4/30/09,9/3/09,,Puppy Raiser/primary
14801,2J09,Jade,J09,7105,2/20/09,F,9/23/14,98,German Shepherd,Dog age-too old for reuse,Black/tan,37077,14588,4/28/09,6/22/10,,Puppy Raiser/primary
14801,2J09,Jade,J09,7105,2/20/09,F,9/23/14,98,German Shepherd,Dog age-too old for reuse,Black/tan,37078,15919,4/28/09,,,Veterinary sponsor for pups
14795,6I09,Innsbrook,I09,7105,2/16/09,M,6/28/11,98,Labrador Retriever,BRD retire genetic reason,Black,37094,20439,4/18/09,9/15/09,9/15/09,Puppy Raiser/primary
14448,3I308,Irena,I308,7105,9/6/08,F,1/30/13,98,Labrador Retriever,BRD retire genetic reason,Yellow,37136,18262,5/11/09,8/11/09,8/11/09,Puppy Raiser/primary
13224,9WW07,Winston,WW07,7105,8/17/07,M,10/28/11,98,Labrador Retriever,Dog health problem,Yellow,37390,20447,6/17/09,10/28/11,,Foster for breeding dog
13219,4WW07,Wren,WW07,7105,8/17/07,F,5/8/12,98,Labrador Retriever,Dog health problem,Yellow,37391,20448,6/24/09,5/8/12,,Foster for breeding dog
10411,1BB04,Bandit,BB04,7105,4/21/04,M,7/23/10,98,German Shepherd,Dog age-too old for reuse,Sable,37402,5772,6/16/09,7/23/10,7/23/10,Foster for breeding dog
13666,4P307,Pammy,P307,7105,11/19/07,F,1/28/14,98,Labrador Retriever,Dog age-too old for reuse,Black,37595,18109,7/16/09,1/28/14,,Foster for breeding dog
14959,6AA09,Alia,AA09,7105,5/4/09,F,5/22/14,98,Labrador Retriever,Dog age-too old for reuse,Black,37640,20936,7/22/09,10/8/09,10/8/09,Puppy Raiser/primary
15016,9FF09,Faith,FF09,7105,6/4/09,F,4/6/12,98,Labrador Retriever,Dog health problem,Black,37731,17716,8/5/09,2/7/11,,Puppy Raiser/primary
15018,11FF09,Frankie,FF09,7105,6/4/09,M,12/13/13,98,Labrador Retriever,BRD retire genetic reason,Black,37762,20923,8/10/09,8/23/09,8/23/09,Puppy Raiser/primary
15030,4HH09,Henny,HH09,7105,6/12/09,F,7/2/14,98,Labrador Retriever,Dog age-too old for reuse,Black,37808,14432,8/18/09,12/14/10,,Puppy Raiser/primary
8490,6A401,Amanda,A401,7105,10/16/01,F,8/19/09,98,Labrador Retriever,Dog age-too old for reuse,Yellow,37812,8467,8/14/09,,,Adopter of dog
14448,3I308,Irena,I308,7105,9/6/08,F,1/30/13,98,Labrador Retriever,BRD retire genetic reason,Yellow,37840,15414,8/20/09,3/2/10,,Puppy Raiser/primary
13550,7M307,Mango,M307,7105,10/31/07,F,10/28/11,98,Labrador Retriever,BRD retire genetic reason,Yellow,37845,20667,7/10/09,10/28/11,,Foster for breeding dog
13888,3G08,Genevieve,G08,7105,1/26/08,F,12/13/13,98,Labrador Retriever,Dog age-too old for reuse,Yellow,37884,2807,8/31/09,12/13/13,,Foster for breeding dog
14824,4L09,Leo,L09,7105,3/2/09,M,9/24/13,98,Labrador Retriever,BRD retire genetic reason,Yellow,37914,17072,9/3/09,9/7/10,,Puppy Raiser/primary
15010,3FF09,Fresca,FF09,7105,6/4/09,F,10/22/14,98,Labrador Retriever,Dog age-too old for reuse,Yellow,37927,14325,9/2/09,10/5/10,,Puppy Raiser/primary
